Customer Name,Pricelist,FD/FILLIN,ARROYO,ARS,LCR,TBR,MB,ARS-TBR,ARYO-TBR,ARYO-ST,ST,LOC_CODE,SEND_TO,CC_S,BCC_S,NAME,HIDE_PRICING,CAPPED
B_TIRESDIRECT,B_TIRESDIRECT,FD,Y,N,Y,Y,Y,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
CATIREWHOLESALE,CATIREWHOLESALE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
EVERGREENTIREANDWHEEL,EVERGREENTIREANDWHEEL,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Mihai,N,Y
H_ADVANCE,H_ADVANCE,FILL IN,N,Y,Y,Y,Y,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Cliff & Armando,N,Y
M_GENERALTIRE,M_GENERALTIRE,FILL IN,N,Y,Y,Y,Y,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Vladimir & Jennifer,N,Y
PRIORITYCA,PRIORITYCA,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIRECLUB,TIRECLUB,FILL IN,N,N,Y,Y,Y,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WHEELWORLDOREGON,WHEELWORLDOREGON,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WHOLESALENTE,WHOLESALENTE,FD,Y,N,Y,Y,Y,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BORDERTIRE,BORDERTIRE,FILL IN,N,N,N,Y,N,N,Y,Y,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Dalia / Nelson,N,Y
RADIALTIRE,RADIALTIRE,FILL IN,N,Y,N,Y,N,Y,N,N,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ACTIONTIRE,ACTIONTIRE,FILL IN,N,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Ricky,N,Y
BLACKSTIRESERVICE,BLACKSTIRESERVICE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
COMPETITIONWHEELS,COMPETITIONWHEELS,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
EASTCOASTINTLTIRE,EASTCOASTINTLTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Junbo,N,Y
GTWTAMPA,GTWTAMPA,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Yano,N,Y
JERSEYWHOLESALETIRECORP,JERSEYWHOLESALETIRECORP,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
KOSTTIRE,KOSTTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Erwin,N,Y
METROTIREWHOLESALE,METROTIREWHOLESALE,FILL IN,N,Y,Y,Y,Y,Y,Y,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
PRIORITFLPATX,PRIORITFLPATX,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
R_WENTWORTH,R_WENTWORTH,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
RHINOTYRE,RHINOTYRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
STEELCITYTIRE,STEELCITYTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
STEVESHANNONTIRE,STEVESHANNONTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIREDISTRIBUTORSOFMACONGA,TIREDISTRIBUTORSOFMACONGA,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TRACTIONTIRE,TRACTIONTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WHEELANDTIRESOURCE,WHEELANDTIRESOURCE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WHEELMARTNY,WHEELMARTNY,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DIGITIRE,DIGITIRE,FILL IN,N,N,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BORDERTIREPHX,BORDERTIREPHX,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Gina / Dalia / Nelson,N,Y
PROFLEETREPAIR,PROFLEETREPAIR,FILL IN,N,N,N,Y,N,N,Y,Y,N,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DEALERSTIRESUPPLY,DEALERSTIRESUPPLY,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Todd,N,Y
LEESSERVICES,LEESSERVICES,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Sam,N,Y
BRANNONTIRE,BRANNONTIRE,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Randy,N,Y
FUTURETIRE,FUTURETIRE,FILL IN,Y,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
CONNECTICUTTIRE,CONNECTICUTTIRE,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
FLYNNSTIRE,FLYNNSTIRE,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
K_CHUCKWAIT,K_CHUCKWAIT,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Chuck,N,Y
VICTORSTIRES,VICTORSTIRES,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
CLARKTIREWHOLESALE,CLARKTIREWHOLESALE,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DELTATIRE,DELTATIRE,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
MESILLAVALLEY,MESILLAVALLEY,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIRECITY,TIRECITY,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BESTONE,BESTONE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
D_LATIRE,D_LATIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Marcos,N,Y
DAYTONTIRE,DAYTONTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DELTAWHOLESALE,DELTAWHOLESALE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DEPINOSTIRESERVICEINC,DEPINOSTIRESERVICEINC,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
E_LOONEYS,E_LOONEYS,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
EPEORIA,EPEORIA,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
F_FIRSTCHANCE,F_FIRSTCHANCE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Robert,N,Y
GEMCITY,GEMCITY,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
GRISMERTIRE,GRISMERTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
HOTWHEELCITY,HOTWHEELCITY,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
JOESTIRE,JOESTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Jake & Vern,N,Y
L_MARTIN,L_MARTIN,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,David,N,Y
SOUTHERNTIREANDWHEEL,SOUTHERNTIREANDWHEEL,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIRECLUBTX,TIRECLUBTX,FILL IN,N,N,Y,Y,Y,N,N,N,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIREDEPOT,TIREDEPOT,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TOMFOUTS,TOMFOUTS,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
VANSTIRE,VANSTIRE,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WHEELCITYWHOLESALERS,WHEELCITYWHOLESALERS,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
YOUNGDISTCO,YOUNGDISTCO,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
KALTIRE,KALTIRE,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BAUERBUILT,BAUERBUILT,FILL IN,N,Y,Y,Y,N,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ALMATIRES,ALMATIRES,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BEACONTIRE,BEACONTIRE,FILL IN,N,Y,Y,Y,Y,Y,Y,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DUNNTIRE,DUNNTIRE,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
FREMONTTIRES,FREMONTTIRES,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
IMPORTEXPORTTIRE,IMPORTEXPORTTIRE,FD,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,"Terry, Cassady & George",N,Y
INDYTIRE,INDYTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
KTCAUDIO,KTCAUDIO,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Ehssan,N,Y
LINDERTIRE,LINDERTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
O_MAFTCO,O_MAFTCO,FD,Y,Y,Y,Y,Y,Y,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ROYALTIRE,ROYALTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
SALEMTIRE,SALEMTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIRESOLUTIONS,TIRESOLUTIONS,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TOPNOTCHWHOLESALE,TOPNOTCHWHOLESALE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WONDERLANDTIRE,WONDERLANDTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WHEELTIREWHOLESALEMO,WHEELTIREWHOLESALEMO,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
UNIVERSALTRUCK,UNIVERSALTRUCK,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
DAKOTAWHOLESALE,DAKOTAWHOLESALE,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ALEXSTIREINC,ALEXSTIREINC,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Alex & Nora,N,Y
OKTIRE,OKTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
RANDRTIRE,RANDRTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
SOUTHSIDE,SOUTHSIDE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIRECLUBAZ,TIRECLUBAZ,FILL IN,N,N,Y,Y,Y,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ALLAMERICANFLEET,ALLAMERICANFLEET,FILL IN,N,N,N,Y,N,N,Y,Y,N,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
WICKELTIRE,WICKELTIRE,FILL IN,N,Y,Y,Y,N,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ELITETIREWHEEL,ELITETIREWHEEL,FD,N,Y,Y,Y,Y,Y,N,N,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
MAMMOTHTIRE,MAMMOTHTIRE,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
BROADWAYTIREWHOLESALE,BROADWAYTIREWHOLESALE,FILL IN,N,Y,Y,Y,Y,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Jim,N,Y
ELCAMINOTIRE,ELCAMINOTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TIRETOWN,TIRETOWN,FILL IN,N,N,Y,Y,Y,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
MIDSOUTHTIREANDWHEEL,MIDSOUTHTIREANDWHEEL,FILL IN,N,N,Y,Y,Y,N,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
TONYSTIRE,TONYSTIRE,FILL IN,Y,N,Y,Y,Y,N,Y,Y,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
HootenTireCo,HootenTireCo,FILL IN,N,Y,Y,Y,N,Y,N,N,Y,VLK,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
GonzalesTire,GonzalesTire,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,Jose,N,Y
SingularTires,SingularTires,FILL IN,Y,N,Y,Y,N,N,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ETCZ1 (no cap),ETCZ1,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,N
ETCZ1,ETCZ1,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,V,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
ETCZ2 (no cap),ETCZ2,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VL,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,N
ETCZ2,ETCZ2,FILL IN,Y,Y,Y,Y,Y,Y,Y,Y,Y,VF,vjdelrosario@avatco.com,vjdelrosario@avatco.com,,,N,Y
